circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,138,138.0,56007.0,443.29
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,163,163.0,45230.0,220.4
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,CT METERS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,9592.0,50.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,GRC HV SANATHNAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,537.0,3.75
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,I.E.SANATH NAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,,0.0,2.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,182,182.0,51975.0,390.93
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,145,145.0,52857.0,477.1
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,137,130.0,45982.0,495.87
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,N.B.T. NAGAR P. GADDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,81.0,3.75
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,143,142.0,53646.0,541.02
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,TRAFIC SIGNALS & CAMERAS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,34.0,3.75
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,261,258.0,97627.0,963.35
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,202,202.0,64164.0,605.53
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,STREET LIGHT,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,116,113.0,43394.0,570.09
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,GRC HV BORABANDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,3.0,2641.0,18.75
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,179,179.0,47353.0,515.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,154,154.0,35856.0,318.04
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,81,81.0,33029.0,439.45
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,AMEERPET MAIN ROAD,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,0.0,3.75
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,C-TYPE QUARTERS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,642.0,7.5
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,GAYTHRI NAGR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,0.0,2.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,S R NAGAR NORTH EWS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,1.0,3.75
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,S.R.NAGAR (SOUTH),LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,0.0,2.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,170,163.0,101769.0,573.52
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,TRAFIC SIGNALS&CAMERAS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,0.0,3.75
